Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
114,Entry short,2026-02-26 09:45,ORB short,25230.25,10,5046050,32637.6,0.65,12.4,32643.8,0.65,-4806.2,-0.10,286036.4,572.07,5
115,Exit long,2026-03-02 10:20,Exit,24892.25,10,4978450,-12.4,0.00,12.4,11093.8,0.22,-18056.2,-0.36,286024,572.05,7
115,Entry long,2026-03-02 09:45,ORB long,24892.25,10,4978450,-12.4,0.00,12.4,11093.8,0.22,-18056.2,-0.36,286024,572.05,7
116,Exit long,2026-03-05 10:05,Exit,25143.25,10,5028600,37.6,0.00,12.4,13343.8,0.27,-4606.2,-0.09,286061.6,572.12,3
116,Entry long,2026-03-05 09:50,ORB long,25143,10,5028600,37.6,0.00,12.4,13343.8,0.27,-4606.2,-0.09,286061.6,572.12,3
117,Exit long,2026-03-06 10:05,Exit,24675.5,10,4952850,-17762.4,-0.36,12.4,1943.8,0.04,-19006.2,-0.38,268299.2,536.60,1
117,Entry long,2026-03-06 10:00,ORB long,24764.25,10,4952850,-17762.4,-0.36,12.4,1943.8,0.04,-19006.2,-0.38,268299.2,536.60,1
118,Exit short,2026-03-09 09:55,Exit,24351.75,10,4872450,2087.6,0.04,12.4,9843.8,0.20,-4606.2,-0.09,270386.8,540.77,2
118,Entry short,2026-03-09 09:45,ORB short,24362.25,10,4872450,2087.6,0.04,12.4,9843.8,0.20,-4606.2,-0.09,270386.8,540.77,2
119,Exit short,2026-03-10 10:15,Exit,24955,10,4992450,1437.6,0.03,12.4,13443.8,0.27,-7156.2,-0.14,271824.4,543.65,4
119,Entry short,2026-03-10 09:55,ORB short,24962.25,10,4992450,1437.6,0.03,12.4,13443.8,0.27,-7156.2,-0.14,271824.4,543.65,4
120,Exit short,2026-03-11 10:00,Exit,25115.5,10,5010300,-12812.4,-0.26,12.4,4043.8,0.08,-12806.2,-0.26,259012,518.02,2
120,Entry short,2026-03-11 09:50,ORB short,25051.5,10,5010300,-12812.4,-0.26,12.4,4043.8,0.08,-12806.2,-0.26,259012,518.02,2
121,Exit short,2026-03-12 10:00,Exit,24736.5,10,4947300,-12.4,0.00,12.4,21193.8,0.43,-6156.2,-0.12,258999.6,518.00,3
121,Entry short,2026-03-12 09:45,ORB short,24736.5,10,4947300,-12.4,0.00,12.4,21193.8,0.43,-6156.2,-0.12,258999.6,518.00,3
122,Exit short,2026-03-13 11:40,Exit,24435.75,10,4919100,31937.6,0.65,12.4,31943.8,0.65,-506.2,-0.01,290937.2,581.87,12
122,Entry short,2026-03-13 10:40,ORB short,24595.5,10,4919100,31937.6,0.65,12.4,31943.8,0.65,-506.2,-0.01,290937.2,581.87,12
123,Exit long,2026-03-16 10:25,Exit,24723.5,10,4942750,1937.6,0.04,12.4,10143.8,0.21,-6706.2,-0.14,292874.8,585.75,8
123,Entry long,2026-03-16 09:45,ORB long,24713.75,10,4942750,1937.6,0.04,12.4,10143.8,0.21,-6706.2,-0.14,292874.8,585.75,8
124,Exit long,2026-03-17 09:55,Exit,25085.75,10,5022800,-5662.4,-0.11,12.4,43.8,0.00,-6756.2,-0.13,287212.4,574.42,2
